{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
{'mavpackettype': 'HEARTBEAT', 'type': 2, 'autopilot': 0, 'base_mode': 0, 'custom_mode': 0, 'system_status': 4, 'mavlink_version': 3}
